TCE,url,mkd,uis,hcl,fin,gov,agdp,enc,mar,cor,gtfp,gtec,dig,fte,open,fdi,epu,wpu,cpu
4.495431878,1.868106218,0.31372909,1.670479596,0.811518788,0.198174025,0.220919652,0.5455779,3.196027783,-1.005896397,2.414223353,0.146451163,4659,0.250168966,1.59913702,0.709302054,11.07000977,-0.574298392,-0.328220426,0
4.523850395,1.868106218,0.578396661,1.859933889,0.854386875,0.228314363,-0.138328784,0.5670822,3.43192678,-1.260054576,2.955111599,0.122575369,3963,0.537162015,1.648369545,0.814312268,8.735148007,0.1439868,-0.332109294,0.0788836
4.784497428,1.883413326,0.850875952,1.936172471,0.918791602,0.276644192,-0.297709428,0.5746511,3.828092786,-0.053752582,1.525621234,0.053644322,4135,0.885709035,1.818272749,0.885927859,2.973829033,0.805139611,-0.347664764,0.3825398
5.076650814,1.906373987,1.059637823,2.067925902,0.932303145,0.690458277,0.80288005,0.4187512,4.15302269,0.153624974,1.383960027,0.102136081,4025,1.089147506,1.877873861,1.20496901,1.670446675,1.599788095,-0.337942595,0.7283237
5.16007453,1.987292924,1.304161553,2.18673676,1.082633815,1.077051531,0.461765265,0.4765225,4.244269146,0.255689971,1.499864651,0.151167108,2345,1.309988019,1.911084234,1.206281164,1.643956399,1.850868946,2.998705811,1
0.484918518,-0.283238165,-1.177708793,-0.025529572,0.915225581,-0.149186474,-1.111111525,0.1595071,-0.059910319,-1.341598528,0.907463239,-0.177541675,138,1.373527714,0.941938751,0.150358189,-0.292120574,-0.607868303,-0.351553632,0.6651851
0.489542141,-0.181654633,-0.896484695,-0.017600944,0.930448604,-0.136283395,-1.059477592,0.178175,-0.056960769,-0.943374773,0.791558614,0.168603417,166,-1.713939307,0.97042177,-0.000781794,-0.185465217,-0.620543064,-0.351553632,0.0813397
0.521225309,-0.02510467,-0.841663806,0.028126012,0.92669118,-0.090834684,-1.002302195,0.2035537,-0.028610149,-0.2778,1.24229882,0.479972113,202,-1.14696214,1.079918307,-0.012798585,-0.04944498,-0.788696378,-0.351553632,0.0936121
0.775475144,0.006205323,-0.778845919,0.167333857,0.88178801,-0.042725899,-0.961770892,0.2060151,0.122236988,-0.32774412,2.903598433,0.075817723,245,-0.522848872,1.224127546,-0.042559618,-0.010899555,-0.888524159,-0.322387124,0.0318051
1.01826991,0.154405955,-0.521564561,0.347688445,0.985347273,-0.029460427,-0.782370433,0.216667,0.371086108,0.651257381,1.190785653,-0.161039039,392,-0.381542965,1.37403039,-0.152470993,0.024507318,-0.919853157,-0.275720713,0.0068379
0.99360652,0.269905039,-0.354781317,0.491531443,1.068980846,-0.032087345,-0.763658032,0.2379093,0.696131123,-0.673243378,2.504371394,-0.136912644,570,0.067508796,1.417583316,-0.18404858,0.068675522,-0.574298392,-0.328220426,0
1.012695141,0.386795678,-0.210633568,0.737457688,1.135140447,0.936596331,-0.628778603,0.2608678,1.131251232,-0.555665461,1.422594902,-0.1119562,662,0.402453923,1.547664716,-0.15106328,0.125114028,0.1439868,-0.332109294,0.0788836
1.049052064,0.492553875,0.226064799,1.078614208,1.218050502,1.254175393,-0.06192663,0.2407149,1.291093278,0.198645036,0.662775699,-0.003549731,871,0.856297746,1.706453601,-0.11147757,0.186977906,0.805139611,-0.347664764,0.3825398
1.111442189,0.579526077,0.260763785,1.369258259,1.422517592,0.804162072,0.000739103,0.2259984,1.412402663,0.320055533,0.559749366,0.184400776,994,1.021323748,1.706453601,0.074721817,0.239973984,1.599788095,-0.337942595,0.7283237
1.196834586,0.982103004,0.309763492,1.499771216,1.594865837,1.005582602,-0.047868508,0.2265225,1.607348418,-0.363200649,0.559749366,0.397295038,783,1.226287246,1.753460591,0.156754993,0.269602813,1.850868946,2.998705811,1
2.233518707,-0.274193056,-0.434312622,-0.390573179,-0.232672576,-0.78980959,-1.319576859,0.3221179,1.214095939,1.324707478,2.195292396,0.157120196,63,1.094137165,0.834032448,-0.188241439,0.024604912,-0.607868303,-0.351553632,0.6651851
2.318674673,-0.172609524,-0.355219989,-0.376549166,-0.11304082,-0.763796351,-1.286127692,0.3482108,1.26694895,2.745658043,1.435473193,-0.035356984,117,-1.677553401,0.475884988,-0.245236195,0.057656206,-0.620543064,-0.351553632,0.0813397
2.536881924,-0.077287991,-0.032751913,-0.349510291,-0.202938945,-0.703302774,-1.309387164,0.3800074,1.397939305,1.581719765,2.002118022,0.020188603,96,-1.171365539,1.142786801,-0.190822178,0.117665787,-0.788696378,-0.351553632,0.0936121
2.608389902,0.008988433,0.084680687,-0.308516801,-0.215217396,-0.632075828,-1.286909529,0.3677728,1.426635529,-0.056353114,6.689816156,0.435741623,127,-0.622654389,0.996228893,-0.058555697,0.156843359,-0.888524159,-0.322387124,0.0318051
2.342643672,0.155101732,0.27388009,-0.238399628,-0.213338827,-0.528242753,-1.126957876,0.3572288,1.290541558,-0.003042222,2.658910893,0.360487403,174,-0.441893885,1.29132033,-0.141779971,0.132883888,-0.919853157,-0.275720713,0.0068379
1.665012873,0.301215031,0.276819195,-0.202943454,-0.189736348,-0.437643157,-1.077821851,0.371827,0.945543609,0.013058471,7.655688024,-0.009280768,277,-0.083587696,1.358876992,-0.24800108,0.149772188,-0.574298392,-0.328220426,0
1.120166441,0.386795678,0.52414269,-0.053427237,-0.149457708,0.246039663,-1.073446723,0.4183658,1.45076496,0.597344246,7.70720119,-0.073187112,379,0.245029696,1.436201187,-0.282174633,0.230272195,0.1439868,-0.332109294,0.0788836
1.02673131,0.49116232,0.762166331,0.129816008,-0.092567109,0.262558535,-0.854655057,0.4058229,2.270538079,0.546332075,6.123171326,-0.209464183,493,0.62464296,1.642966301,-0.339839232,0.278552681,0.805139611,-0.347664764,0.3825398
0.966546976,0.573264078,1.062174381,0.178226322,-0.017137351,-0.319443469,-0.890396368,0.3997184,2.434534685,-0.205918806,6.3163457,0.004549852,408,0.7647484,1.680078279,-0.254141356,0.322286146,1.599788095,-0.337942595,0.7283237
0.928379218,0.568324057,1.282300188,0.199591978,0.131796934,-0.257795816,-0.733871807,0.4346752,2.542321913,-1.380915199,6.3163457,0.417914081,331,0.933700931,1.777694706,-0.143151639,0.345172076,1.850868946,2.998705811,1
-0.292812002,-0.530934995,-0.60451751,0.378781271,0.536081642,-0.157933949,-0.370035919,0.1377818,-0.402401313,0.294466415,-0.277339586,0.345134146,32,1.114780663,0.97042177,0.286603837,-0.188009331,-0.607868303,-0.351553632,0.6651851
-0.266026217,-0.446050126,-0.516607563,0.325640383,1.574203222,-0.111848867,-0.167168239,0.1486394,-0.388513835,0.249190021,-0.39324421,0.341348701,50,-1.75996967,1.113344042,0.22241777,-0.182242378,-0.620543064,-0.351553632,0.0813397
-0.193768433,-0.366731478,-0.434751294,0.176300551,1.78182945,-0.000681827,-0.220871331,0.159353,-0.346658583,0.415030051,-0.200069837,0.294094084,55,-1.189485428,0.874591394,0.17721361,-0.152010237,-0.788696378,-0.351553632,0.0936121
-0.143403997,-0.282542387,-0.250772092,0.132982255,1.531213075,0.137911961,-0.173722229,0.1562339,-0.284651945,-0.599700159,0.5082362,0.19067108,80,-0.599420016,1.192660127,0.138304856,-0.111162466,-0.888524159,-0.322387124,0.0318051
