tce,url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu
0.05156533,0.4543,8.88101,6.21336,2.456632,0.176084132,2.2758,0.01008485,0.226,115.5,0.077431155,0.47288,95.48683697,0.15,64.74577466
0.04849005,0.4773,9.86627,6.28803,2.610923,0.209663801,2.4256,0.008664723,0.113,113.78,0.062611092,0.35284,92.11420781,0.39,48.68357734
0.05390187,0.4983,10.4389,6.369369,2.679701,0.207516133,2.7038,0.009359949,0.23,152.21,0.060380083,0.38195,129.3138679,0.12,44.28451654
0.06626515,0.5157,10.987,6.462891,9.538061,0.200897341,3.0486,0.0226211,0.158,178.0956298,0.041626272,0.573855,206.6387024,0.1,95.03284876
0.07425482,0.5291,11.5144,6.564491,9.8044,0.251594286,2.921,0.03549008,0.099,205.9034764,0.068347898,0.620565,277.8131221,0.02,290.3845297
0.08272756,0.5423,12.0561,6.594307,3.481134,0.259433962,2.8707,0.03845538,0.062,214.7672925,0.073018868,0.66147,363.3586174,0.07,512.8383186
0.08652704,0.54149,12.6653,6.583632,3.731294,0.277222323,3.0909,0.0394508,0.049,230.229326,0.077180922,0.6853,390.3879721,17.23,687.6163291
0.07065159,0.397,8.27588,6.242033,1.877916,0.134699375,2.1796,0.01064474,0.073,248.5405926,0.193771909,0.44573,125.7,0,472.2192815
0.070689,0.41199,8.76794,6.24175,1.921152,0.139659671,2.4053,0.01089346,0.064,45.42,0.141288269,0.49812,124.3355367,0,96.61290641
0.07140042,0.429,9.31001,6.241728,2.065049,0.158385296,2.4951,0.0114156,0.081,87.68,0.110459143,0.58521,106.2334968,0,104.5081246
0.0753004,0.442,9.77815,6.268102,2.278745,0.151555087,2.6501,0.01214654,0.157,124.45,0.107061721,0.61288,95.48683697,0.15,64.74577466
0.07875657,0.4667,10.2844,6.365785,2.543437,0.172697966,2.9067,0.01318355,0.077,134.9,0.092377464,0.510885,92.11420781,0.39,48.68357734
0.08117266,0.4911,10.6142,6.420966,2.696648,0.175432037,2.9992,0.01453867,0.108,162.46,0.073927992,0.55969,129.3138679,0.12,44.28451654
0.08881097,0.50966,10.7397,6.475563,5.242594,0.208711381,3.0891,0.03230059,0.086,184.7597375,0.088580924,0.71786,206.6387024,0.1,95.03284876
0.09773624,0.52539,11.6334,6.581228,5.606561,0.311914275,3.1057,0.05173797,0.052,214.8511355,0.080003365,0.8569,277.8131221,0.02,290.3845297
