url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.5127,12.5031,6.259276,3.869878,0.177948442,5.4368,0.01865966,0.022,227.5536029,0.025188927,0.08347,277.8131221,0.02,512.8383186,0.01896555
0.5557,10.8856,6.57544,3.499514,0.114589103,5.4222,0.01911306,0.168,208.1985839,0.077512147,0.1256,206.6387024,0.1,290.3845297,0.06468762
0.38159,9.99567,6.136956,0.742969,0.153556305,5.3976,0.01045137,0.052,41.91,0.081748899,0.057165,124.3355367,0,96.61290641,0.07277374
0.4863,11.4838,6.445951,2.035907,0.155638563,5.3936,0.02611992,0.109,233.5177667,0.179937634,0.94247,363.3586174,0.07,512.8383186,0.08511168
0.55858,11.5643,6.32469,1.60398,0.267592089,5.3924,0.004118946,0.022,159.19,0.005703929,0.01567,92.11420781,0.39,44.28451654,0.01675222
0.3924,13.2257,6.48142,1.796478,0.139931434,5.3877,0.01218288,0.044,52.45,0.057553271,0.421055,124.3355367,0,96.61290641,0.09353732
0.4875,11.3278,6.795644,2.982743,0.138574184,5.3872,0.02742513,0.154,139.79,0.063462787,2.29456,95.48683697,0.15,64.74577466,0.2445117
0.489,10.359,6.332848,1.195745,0.124514394,5.3863,0.003516447,0.063,88.24,0.015170157,0.807645,106.2334968,0,104.5081246,0.01757422
0.5502,11.2255,6.655458,1.333427,0.096596151,5.3853,0.00859789,0.098,125.01,0.060841888,0.96619,95.48683697,0.15,64.74577466,0.06230225
0.502,9.00245,6.711499,2.822792,0.200675316,5.3847,0.00517783,0.093,163.35,0.23981465,0.13877,92.11420781,0.39,48.68357734,0.02693179
0.64013,15.1227,6.68309,3.615358,0.20168466,5.3821,0.02902077,0.069,242.4089133,0.212988018,1.20036,390.3879721,17.23,687.6163291,0.1085958
0.56604,13.3221,6.837094,2.870766,0.233694001,5.3778,0.02456437,0.088,236.0175644,0.005181877,0.4079,390.3879721,17.23,687.6163291,0.05137949
0.60048,13.797,6.728484,2.272596,0.155752496,5.3773,0.03054006,0.095,262.2782859,0.121295149,0.45908,390.3879721,17.23,472.2192815,0.06285131
0.7,11.1032,6.9412,6.738321,0.2398874,5.3756,0.02652194,0.133,196.2317046,0.068193632,0.075665,129.3138679,0.12,95.03284876,0.08364651
0.537,12.0077,6.314874,4.856003,0.183497013,5.3655,0.01188803,0.024,222.8009394,0.026894732,0.036025,277.8131221,0.02,290.3845297,0.01349647
0.5446,11.3315,6.070211,1.396922,0.116748098,5.3636,0.004767846,0.02,149.11,0.251173408,0.11708,95.48683697,0.15,48.68357734,0.02336983
0.494,10.2303,6.149762,1.493501,0.117926267,5.359,0.001446174,0.023,63.45,0.160663056,0.1076,124.3355367,0,96.61290641,0.008316863
0.5812,16.2429,6.796219,1.715523,0.183774325,5.3581,0.01719237,0.068,242.7857754,0.135018238,2.1153,390.3879721,17.23,472.2192815,0.02729873
0.5293,12.3749,7.023261,2.895585,0.185500217,5.3452,0.02626238,0.127,215.6083674,0.036195187,0.00915,277.8131221,0.02,290.3845297,0.09142278
0.521,11.225,6.644412,1.486643,0.112374702,5.3422,0.01131203,0.054,60.87,0.15023179,1.467355,124.3355367,0,96.61290641,0.06164133
0.6506,11.312,6.692268,2.625193,0.119895154,5.3374,0.01791647,0.14,202.6845686,0.524237324,0.677875,129.3138679,0.12,95.03284876,0.07991518
0.585,9.1223,7.226496,3.389638,0.160861605,5.3317,0.09733611,0.094,206.0253759,0.076234251,6.90958,206.6387024,0.1,95.03284876,0.4367243
0.43528,16.2828,6.458779,1.411472,0.146372255,5.3311,0.01614568,0.035,242.6033791,0.060764948,0.02546,390.3879721,17.23,472.2192815,0.04560427
0.67403,19.6944,6.738936,2.502771,0.290575797,5.3302,0.02904826,0.053,237.3277757,0.153035596,2.34697,390.3879721,17.23,687.6163291,0.04318223
0.69381,9.40169,6.421641,1.381269,0.207318644,5.3298,0.002663025,0.036,138.18,0.021666165,0.1775933,95.48683697,0.15,48.68357734,0.0239326
0.4776,10.8886,6.544055,2.64675,0.145335634,5.3267,0.02475939,0.103,221.4275347,0.177437083,0.5627,277.8131221,0.02,290.3845297,0.07319932
0.581,8.01693,6.590516,2.920867,0.104650942,5.3222,0.002341547,0.116,124.81,0.429687134,0.11585,106.2334968,0,104.5081246,0.01354117
0.62088,9.42021,6.244503,0.988924,0.11186852,5.3192,0.007594725,0.016,93.78,0.047787289,0.15125,124.3355367,0,104.5081246,0.0425543
0.5249,10.3683,6.545463,1.589381,0.229722036,5.3136,0.003059049,0.076,140.26,0.039249861,0.2840133,92.11420781,0.39,48.68357734,0.02369505
0.585,10.8785,6.688267,1.589517,0.156428426,5.3115,0.01624736,0.164,133.93,0.120385824,1.67328,95.48683697,0.15,64.74577466,0.08772174
0.672,8.25427,6.731319,3.617778,0.113872718,5.3094,0.01473139,0.067,169.68,0.296672798,2.351265,95.48683697,0.15,64.74577466,0.0796312
0.6007,13.3265,6.43214,2.334635,0.150829388,5.3063,0.007577266,0.019,225.5749754,0.027648177,0.830735,277.8131221,0.02,512.8383186,0.02559597
