url,mkd,uis,fin,gov,agdp,enc,cor,dig,open,fdi,epu,wpu,cpu,tce
0.52059,11.5867,6.537817,5.692717,0.260527858,3.4898,0.01927885,0.017,204.7853614,0.138128734,0.2778,277.8131221,0.02,290.3845297,0.05968617
0.6665,9.09067,6.46136,2.487489,0.207471412,3.4897,0.01562839,0.06,132.51,0.038159641,1.54299,106.2334968,0,64.74577466,0.08595773
0.3851,9.26906,6.200096,1.203779,0.143585326,3.4895,0.007669406,0.064,119.82,0.036946797,0.43848,95.48683697,0.15,64.74577466,0.04116874
0.465,12.6035,6.781021,2.551249,0.342583076,3.4842,0.01223948,0.011,241.3469734,0.279640285,0.373255,363.3586174,0.07,687.6163291,0.01511066
0.4852,13.9837,6.283599,3.72308,0.202098308,3.4835,0.00581145,0.016,205.8153076,0.020662964,0.04835,206.6387024,0.1,290.3845297,0.01539039
0.93742,16.4457,6.040474,3.640258,0.411473044,3.4809,0.006057098,0.061,224.0669262,0.06915873,0.00145,390.3879721,17.23,687.6163291,0.04541838
0.41126,17.0984,6.545292,2.939627,0.247678019,3.4806,0.004255296,0.007,221.2019235,0.023389598,0.06676,390.3879721,17.23,687.6163291,0.007296039
0.40012,8.47335,6.203014,1.214938,0.231097322,3.4791,0.001329415,0.014,99.84,0.010973977,0.11327,106.2334968,0,64.74577466,0.01186634
0.50601,11.4142,6.468796,5.490956,0.196955075,3.4782,0.01286797,0.016,179.0801465,0.13005624,0.249415,206.6387024,0.1,95.03284876,0.05042287
0.4396,14.949,6.554374,2.289574,0.227416298,3.4773,0.01349274,0.04,216.5737862,0.03170103,0.52588,363.3586174,0.07,512.8383186,0.02635457
0.6544,7.81088,6.811211,4.835463,0.1946283,3.4743,0.01627382,0.04,53.25,0.068352947,0.04346,125.7,0,96.61290641,0.06673447
0.4574,10.0721,6.019802,2.555711,0.297669672,3.4725,0.004413233,0.004,141.73,0.105797447,0.631675,106.2334968,0,64.74577466,0.01961772
0.43835,11.8902,6.356961,5.743589,0.309544814,3.4674,0.005831567,0.016,205.2858682,0.0258142,0.017755,277.8131221,0.02,512.8383186,0.02274202
0.467,10.7449,6.105441,1.597164,0.154122389,3.4667,0.003876624,0.12,178.8073887,0.006783722,0.05917,129.3138679,0.12,95.03284876,0.01340247
0.5724,17.0689,6.637966,6.304671,0.391802923,3.4661,0.02133757,0.069,212.7607723,0.022134796,0.4246,277.8131221,0.02,290.3845297,0.08367117
0.4781,9.92102,6.24943,0.7642108,0.110555991,3.4629,0.008739359,0.058,247.6307956,0.013303246,0.18672,125.7,0,472.2192815,0.04537331
0.41743,14.4708,6.451208,11.17279,0.397492617,3.4593,0.00584007,0.01,227.6194046,0.002119205,0.008,390.3879721,17.23,472.2192815,0.03396998
0.39909,8.77869,6.242172,1.379199,0.262321457,3.4586,0.001614041,0.028,120.69,0.012217213,0.133465,95.48683697,0.15,48.68357734,0.01358423
0.48602,7.77106,6.482087,1.313341,0.179433809,3.4515,0.003052618,0.043,235.0238562,0.059111084,0.25151,125.7,0,472.2192815,0.02488403
0.55,10.4266,6.511144,2.880145,0.25587529,3.45,0.1072511,0.291,266.5861864,0.188447283,10.52948,125.7,0,472.2192815,0.4730634
0.475,11.6899,6.255482,2.249299,0.229433636,3.4497,0.01602275,0.065,182.8205347,0.014043352,0.076205,129.3138679,0.12,95.03284876,0.04445773
0.47735,10.4126,6.369326,2.065403,0.257045508,3.4481,0.01994647,0.254,227.1579386,0.007699945,0.008545,363.3586174,0.07,687.6163291,0.01138879
0.5123,14.4807,6.723457,1.646966,0.166526309,3.4471,0.02050868,0.009,247.555996,0.155043615,0.01695,363.3586174,0.07,687.6163291,0.05133313
0.5156,10.754,6.17505,1.23231,0.152983986,3.4456,0.003944511,0.022,80.73,0.021628425,0.39956,124.3355367,0,104.5081246,0.02284427
0.41951,18.0499,6.60333,2.786489,0.23884215,3.4399,0.01302485,0.072,250.7107602,0.041195815,0.98231,390.3879721,17.23,472.2192815,0.02861898
0.49266,15.9916,6.564774,2.401628,0.255528853,3.4383,0.03899142,0.255,240.6130818,0.012073453,0.01773,390.3879721,17.23,687.6163291,0.04033689
0.4187,12.153,6.139997,2.022989,0.203911211,3.4379,0.003091854,0.041,164.06,0.012408258,0.17283,92.11420781,0.39,44.28451654,0.01413239
0.47411,13.0727,6.533652,3.479746,0.324003689,3.4345,0.009231583,0.045,211.1204517,0.018248859,0.18164,206.6387024,0.1,290.3845297,0.0265303
0.4903,14.4941,6.391918,1.659069,0.156959641,3.434,0.01027739,0.092,138.23,0.03349096,0.9103,92.11420781,0.39,48.68357734,0.05285648
0.5299,13.3301,6.902892,2.876928,0.296492912,3.4335,0.02818245,0.119,227.8039965,0.045897107,0.022635,363.3586174,0.07,512.8383186,0.08973185
0.52134,12.7444,6.72244,2.153706,0.262127856,3.4293,0.01302562,0.035,219.011702,0.116790608,0.34056,390.3879721,17.23,687.6163291,0.01456895
0.4767,11.9925,6.552597,1.730763,0.212270483,3.4284,0.007960063,0.075,126.6,0.183313855,0.429585,106.2334968,0,64.74577466,0.04382781
0.55671,12.5318,6.773142,3.746114,0.222542549,3.4269,0.05598751,0.077,238.6094786,0.091265708,1.14843,390.3879721,17.23,687.6163291,0.1083738
0.39519,11.8588,6.000664,2.244282,0.276368839,3.4259,0.005281224,0.052,85.37,0.033568755,0.194005,106.2334968,0,104.5081246,0.04411018
0.4981,13.9927,6.502709,5.456344,0.300750143,3.4226,0.0193077,0.031,223.8428147,0.102017491,1.194765,277.8131221,0.02,512.8383186,0.02314196
0.3784,12.8561,6.642393,9.657076,0.269363897,3.4193,0.01282809,0.025,221.8062539,0.182546306,0.08366,277.8131221,0.02,512.8383186,0.09651062
0.30729,7.90532,6.02215,1.525006,0.213329196,3.4143,0.002403009,0.021,78.41,0.051302609,0.47878,106.2334968,0,104.5081246,0.01887864
